,City,Cloudiness,Country,Humidity,Temp,Lat,Lng,Wind Speed
59,coihaique,0,CL,86,41,-45.58,-72.07,8.05
60,codrington,90,AU,53,77,-28.95,153.24,13.87
61,saint-philippe,90,CA,77,66.2,45.36,-73.48,10.29
62,pangnirtung,96,CA,35,35.6,66.15,-65.72,3.47
63,hithadhoo,100,MV,73,83.19,-0.6,73.08,10.6
64,nome,1,US,88,77,30.04,-94.42,5.17
65,sheffield,20,GB,93,60.01,53.38,-1.47,9.17
66,tura,93,RU,58,39.02,64.27,100.22,10.04
67,hilo,40,US,58,86,19.71,-155.08,4.7
68,upernavik,100,GL,61,33.84,72.79,-56.15,12.77
69,katima mulilo,0,NA,58,59,-17.5,24.28,12.75
70,bethel,20,US,73,44.6,60.79,-161.76,8.05
71,conceicao do araguaia,12,BR,51,75.27,-8.26,-49.26,2.51
72,la ligua,90,CL,87,51.8,-32.45,-71.23,4.23
73,zhigansk,100,RU,57,45.41,66.77,123.37,5.57
74,punta arenas,75,CL,70,42.8,-53.16,-70.91,14.99
75,vaini,75,IN,94,75.2,15.34,74.49,9.17
76,kenai,1,US,45,48.2,60.55,-151.26,11.41
77,punta gorda,1,US,88,77,26.93,-82.05,6.93
78,praia,90,BR,77,62.6,-20.25,-43.81,6.93
79,los llanos de aridane,4,ES,64,73.4,28.66,-17.92,10.29
80,kapaa,90,US,83,82.4,22.08,-159.32,9.17
81,waingapu,27,ID,38,88.74,-9.65,120.26,16.49
82,nesbyen,100,NO,94,41,60.57,9.1,3.29
83,arraial do cabo,100,BR,90,67.1,-22.97,-42.02,21.05
84,kjopsvik,75,NO,100,48.99,68.1,16.37,5.82
85,diapaga,47,BF,84,75.45,12.07,1.79,4.88
86,lasa,20,CY,83,71.6,34.92,32.53,5.82
87,muroto,75,JP,51,82.4,33.37,134.14,9.17
88,walvis bay,90,NA,93,57.99,-22.95,14.51,4.7
89,gunnedah,94,AU,10,77,-30.98,150.25,12.75
90,solnechnyy,0,RU,41,57.43,50.72,136.64,2.75
91,georgetown,20,GY,100,75.2,6.8,-58.16,4.7
92,toora-khem,14,RU,46,59.97,52.47,96.11,4.07
93,hobart,0,AU,39,64.4,-42.88,147.33,9.17
94,oktyabrskiy,52,RU,86,41,55.61,37.97,2.24
95,antalaha,19,MG,50,77.31,-14.9,50.28,2.08
96,port moresby,40,PG,74,86,-9.47,147.16,17.22
97,kaitangata,100,NZ,73,48.99,-46.28,169.85,14
98,yumen,0,CN,9,80.53,40.29,97.04,6.04
99,nelson bay,40,AU,72,68,-32.72,152.14,16.11
100,hami,0,CN,11,86.18,42.84,93.51,6.64
101,san rafael,61,AR,30,62.46,-34.61,-68.33,2.71
102,faanui,29,PF,82,78.85,-16.48,-151.75,17.38
103,houma,65,CN,31,78.91,35.63,111.36,3.56
104,pevek,1,RU,68,34.5,69.7,170.27,7.52
105,mount gambier,22,AU,48,66.2,-37.83,140.78,17.22
106,qaanaaq,100,GL,64,19.6,77.48,-69.36,13.65
107,kaspiyskiy,99,RU,67,62.94,45.39,47.37,16.31
108,east london,0,ZA,71,51.8,-33.02,27.91,10.29
109,kodiak,90,US,77,64.4,39.95,-94.76,8.05
110,ponta do sol,100,BR,95,62.47,-20.63,-46,3.42
111,payo,48,ID,37,86.74,-3.75,103.64,6.6
112,carnarvon,0,ZA,15,56.98,-30.97,22.13,13.38
113,tiznit,0,MA,89,68.2,29.7,-9.73,9.86
114,albany,40,US,72,60.8,42.65,-73.75,5.82
115,mayna,96,RU,88,44.83,53,91.49,7.36
116,vaitape,29,PF,82,78.85,-16.52,-151.75,17.38
117,bluff,65,AU,36,82.04,-23.58,149.07,15.35
118,thompson,5,CA,80,30.2,55.74,-97.86,2.24
119,longyearbyen,75,NO,100,35.6,78.22,15.63,11.41
120,new norfolk,0,AU,39,64.4,-42.78,147.06,9.17
121,guanica,1,PR,94,80.01,17.97,-66.91,3.36
122,vao,59,EE,87,42.76,59.1,26.19,5.93
123,colares,20,PT,93,64,38.8,-9.45,11.41
124,zeerust,0,ZA,45,44.6,-25.54,26.07,8.05
125,tiksi,86,RU,85,36.79,71.64,128.87,8.48
126,aransas pass,1,US,78,84.2,27.91,-97.15,6.93
127,lethem,29,GY,82,77.13,3.38,-59.8,6.98
128,katangli,11,RU,55,51.22,51.71,143.23,15.37
129,muli,97,CN,50,74.88,28.08,109.56,2.71
130,isangel,75,VU,61,78.8,-19.55,169.27,17.22
131,aykhal,75,RU,59,37.4,65.95,111.51,6.71
132,klaksvik,100,FO,100,51.8,62.23,-6.59,28.86
133,bafoussam,100,CM,97,64.2,5.48,10.42,0.29
134,bowen,40,AU,54,80.6,-20.01,148.25,16.11
135,sao joao da barra,100,BR,93,65.52,-21.64,-41.05,2.95
136,qandala,31,SO,61,87.6,11.47,49.87,2.66
137,garden city,1,US,41,60.8,43.62,-116.24,5.82
138,nemuro,20,JP,42,66.2,43.32,145.57,8.05
139,alihe,0,CN,46,68.97,50.57,123.73,4.99
140,nuuk,32,GL,58,39.2,64.17,-51.74,17.22
141,berlevag,100,NO,96,44.4,70.86,29.09,13.6
142,tucurui,90,BR,84,75.22,-3.77,-49.67,4.05
143,cidreira,18,BR,96,60.91,-30.17,-50.22,5.59
144,rovaniemi,75,FI,93,42.8,66.5,25.72,6.93
145,jacareacanga,15,BR,89,72.88,-6.22,-57.76,2.08
146,san quintin,0,PH,72,84.11,17.54,120.52,7.11
147,banska bystrica,90,SK,100,55,48.74,19.15,2.24
148,baikunthpur,100,IN,97,69.22,23.26,82.56,8.66
149,nanortalik,0,GL,84,40.73,60.14,-45.24,3.2
150,novyy urengoy,100,RU,95,35.31,66.08,76.63,12.66
151,borkenes,75,NO,100,48.99,68.77,16.17,5.82
152,la rioja,0,AR,48,55.54,-29.41,-66.86,1.3
153,mareeba,40,AU,48,82.4,-16.99,145.42,21.92
154,emerald,90,AU,39,82.4,-23.53,148.16,11.41
155,tamworth,86,AU,10,77,-31.09,150.93,12.75
156,sola,99,TZ,51,74.68,-3.17,33.8,9.13
157,camopi,22,GF,99,70.66,3.17,-52.33,1.81
158,neryungri,11,RU,65,54.95,56.66,124.71,10.4
159,esmeraldas,90,BR,87,62.6,-19.76,-44.31,5.82
160,fortuna,0,ES,88,71.01,38.18,-1.13,2.24
161,vilyuysk,100,RU,84,47.03,63.75,121.63,9.06
162,kawalu,52,ID,44,87.64,-7.38,108.21,9.95
163,cockburn town,60,TC,69,82.9,21.46,-71.14,3.69
164,tulun,32,RU,61,59.5,54.56,100.58,7.56
165,saint-augustin,75,CA,87,64.99,45.63,-73.98,2.24
166,cabo san lucas,18,MX,79,80.01,22.89,-109.91,4
167,road town,20,VG,78,82.4,18.42,-64.62,9.17
168,foindu,100,SL,99,70.61,8.12,-10.79,0.69
169,neiafu,75,TO,69,77,-18.65,-173.98,3.36
170,kungurtug,72,RU,50,61.65,50.6,97.53,2.46
171,rauma,0,FI,100,30.2,61.13,21.5,1.12
172,kurayoshi,20,JP,73,77,35.43,133.83,14.99
173,bahia blanca,0,AR,71,55.58,-38.72,-62.27,3
174,pedasi,76,PA,93,72.79,7.53,-80.03,3.44
175,jega,58,NG,82,78.28,12.22,4.38,9.04
176,coquimbo,90,CL,76,53.6,-29.95,-71.34,2.24
177,chernyshevskiy,38,RU,65,45.23,63.01,112.47,8.52
178,terrace,90,CA,100,44.6,54.52,-128.61,3.36
179,leningradskiy,6,RU,77,29.23,69.38,178.42,5.53
180,kavieng,89,PG,71,83.23,-2.57,150.8,5.99
181,srednekolymsk,100,RU,59,33.94,67.46,153.71,10.4
182,sao sebastiao,50,BR,92,73.81,-3.15,-58.36,1.7
183,broome,100,GB,93,61,52.47,1.45,9.17
184,chuy,53,UY,83,55.98,-33.69,-53.46,5.93
185,orlik,0,PL,87,52,53.95,17.74,1.12
186,freeport,31,BS,68,78.37,26.54,-78.7,12.95
187,hasaki,40,JP,64,82,35.73,140.83,9.17
188,roma,0,IT,82,69.8,41.89,12.48,3.36
189,mar del plata,0,AR,62,44.73,-46.43,-67.52,11.56
190,la primavera,0,AR,37,66.2,-32.92,-68.67,3.36
191,yulara,67,AU,23,82.4,-25.24,130.99,5.82
192,calatayud,14,ES,87,60.8,41.35,-1.64,3.36
193,kudahuvadhoo,100,MV,73,82.85,2.67,72.89,13.11
194,flinders,40,AU,60,70,-34.58,150.85,10.29
195,atuona,46,PF,75,79.52,-9.8,-139.03,18.99
196,luderitz,51,NA,63,62.6,-26.65,15.16,4.7
197,adrar,0,DZ,10,78.8,27.87,-0.29,4.7
198,tasiilaq,0,GL,93,41,65.61,-37.64,1.12
199,sao filipe,52,CV,79,77.74,14.9,-24.5,15.75
200,anantapur,100,IN,63,84.31,14.68,77.61,6.15
201,tobol,90,SE,93,48.2,59.83,12.54,2.24
202,presidencia roque saenz pena,0,AR,65,58.23,-26.79,-60.44,4.27
203,eyl,48,SO,48,86.88,7.98,49.82,22.82
204,svencionys,0,LT,76,40.73,55.15,26.17,6.69
205,lebu,57,ET,70,63.99,8.96,38.73,6.96
206,biak,90,ID,94,68.58,-0.91,122.88,3.18
207,karaton,40,ID,49,93.2,-6.34,106.1,10.29
208,cherskiy,0,RU,60,33.73,68.75,161.3,6.35
209,port elizabeth,1,US,93,69.01,39.31,-74.98,4.59
210,lingao,0,CN,60,80.96,19.91,109.69,5.73
211,jinxiang,2,CN,27,88.16,35.07,116.31,0.51
212,iqaluit,40,CA,86,37.4,63.75,-68.52,12.75
213,tazovskiy,99,RU,95,35.53,67.47,78.7,15.61
214,agbor,100,NG,99,73.2,6.26,6.15,2.46
215,vagay,100,RU,79,36.77,57.94,69.02,11.14
216,husavik,31,CA,85,44.01,50.56,-96.99,8.05
217,portland,1,US,87,55,43.66,-70.25,3.36
218,victoria,75,BN,52,93.2,5.28,115.24,2.24
219,kamphaeng phet,60,TH,60,93.99,16.47,99.53,2.3
220,ternate,40,PH,66,90,14.29,120.72,9.17
221,bridlington,88,GB,100,60.01,54.08,-0.19,6.93
222,hobyo,47,SO,57,85.35,5.35,48.53,22.5
223,san roque,75,CO,100,57.2,6.49,-75.02,3.36
224,tortoli,40,IT,37,71.6,39.93,9.66,13.87
225,totness,75,US,100,78.8,33.74,-80.8,5.5
226,gat,32,SN,94,78.8,14.69,-16.54,3.36
227,camacha,40,PT,64,69.8,33.08,-16.33,9.17
228,sal rei,75,CV,78,77,16.18,-22.92,9.17
229,ust-ilimsk,68,RU,43,51.75,57.96,102.73,4.07
230,shima,75,JP,65,78.8,34.34,136.82,8.05
231,jaen,28,PE,91,57.87,-5.71,-78.81,2.91
232,koupela,67,BF,76,75.99,12.18,-0.35,7.29
233,oranjemund,0,ZA,42,70.72,-28.55,16.43,17.11
234,quatre cocos,40,MU,88,78.01,-20.21,57.76,3.36
235,pimentel,9,BR,96,71.73,-3.7,-45.5,1.88
236,ilebo,100,CD,91,73.13,-4.33,20.59,1.81
237,caravelas,25,BR,87,71.96,-17.73,-39.27,8.57
238,vredendal,0,ZA,38,67.3,-31.68,18.49,25.01
239,vila velha,75,BR,74,78.8,-3.71,-38.6,20.8
240,goma,99,CD,88,62.78,-1.67,29.23,0.94
241,dingle,33,PH,76,84.9,11,122.67,6.69
242,khatanga,99,RU,95,35.58,71.98,102.47,9.13
243,renukut,100,IN,95,72.86,24.22,83.04,8.43
244,lagoa,0,PT,63,66.2,37.14,-8.45,2.24
245,kahului,40,US,62,84.2,20.89,-156.47,11.41
246,constitucion,42,MX,80,62.01,23.99,-104.67,7
247,luau,93,CD,28,75.18,-10.7,22.23,11.07
248,norman wells,90,CA,65,44.6,65.28,-126.83,5.82
249,ust-barguzin,100,RU,88,54.16,53.41,109.03,10.94
250,aklavik,90,CA,86,37.4,68.22,-135.01,9.17
251,saint simons,1,US,78,82.4,31.14,-81.39,10.29
252,la ronge,90,CA,86,41,55.1,-105.3,10.29
253,zavodskoy,90,RU,100,53.6,43.1,44.65,4.47
254,gravdal,0,NO,62,55.99,59.79,5.78,14.99
255,kidodi,100,TZ,81,68.11,-7.6,37,3.67
256,nisia floresta,40,BR,83,77,-6.09,-35.21,9.17
257,paamiut,0,GL,62,43.18,61.99,-49.67,13.06
258,pailon,75,BO,34,78.8,-17.66,-62.72,9.17
259,simbahan,0,PH,68,83.37,6.3,120.58,2.01
260,carutapera,3,BR,83,78.22,-1.2,-46.02,6.11
261,mazara del vallo,40,IT,83,71.6,37.65,12.59,4.7
262,gondanglegi,17,ID,50,88.72,-7.75,112.01,16.04
263,eureka,1,US,72,62.01,40.8,-124.16,8.05
264,saskylakh,100,RU,71,36.66,71.97,114.09,9.01
265,gonen,20,IL,77,72,33.12,35.65,4.7
266,ninghai,40,CN,51,89.01,29.29,121.42,4.47
267,balkanabat,0,TM,19,81.86,39.51,54.36,0.45
268,shorkot,0,PK,29,99.05,30.83,72.08,6.46
269,alice springs,0,AU,29,78.8,-23.7,133.88,5.82
270,montlucon,100,FR,97,57.99,46.33,2.6,3
271,verkhnyaya inta,100,RU,97,33.94,65.99,60.32,12.75
272,cururupu,34,BR,97,73,-1.82,-44.87,2.44
273,wynyard,81,AU,70,57.99,-40.99,145.73,15.99
274,valle de allende,9,MX,79,63.97,26.94,-105.39,6.67
275,hovd,0,NO,86,50,63.83,10.7,6.93
276,kaeo,84,NZ,70,52.25,-35.1,173.78,10.71
277,bolshaya glushitsa,62,RU,47,47.5,50.24,43.59,4.29
278,fayaoue,99,NC,80,70.88,-20.65,166.53,20.76
279,ribeira grande,10,PT,91,72.45,38.52,-28.7,13.33
280,san jose,100,HN,96,64.83,14.25,-87.96,2.57
281,valenza,40,IT,93,64.4,45.01,8.65,4.7
282,shellbrook,5,CA,100,41,53.22,-106.39,10.29
283,goderich,66,CA,88,68,43.74,-81.71,5.99
284,candolim,75,IN,94,78.8,15.52,73.76,9.17
285,fort nelson,75,CA,100,41,58.81,-122.69,2.98
286,jiuquan,0,CN,9,76.91,39.73,98.49,5.3
287,altay,100,CN,59,54.59,47.83,88.13,6.13
288,lavrentiya,89,RU,95,30.45,65.58,-170.99,1.34
289,amboise,90,FR,93,66,47.41,0.98,10.29
290,beringovskiy,100,RU,94,39.58,63.05,179.32,24
291,saint-dizier,90,FR,93,60.01,48.64,4.95,9.17
292,calera,1,US,78,78.8,33.1,-86.75,1.68
293,mae ramat,20,TH,70,87.8,16.98,98.52,6.93
294,brae,100,GB,93,53.6,60.4,-1.35,29.97
295,abancay,76,PE,90,48.24,-13.64,-72.88,1.25
296,barabai,84,ID,34,97.66,-2.59,115.38,1.52
297,lata,20,IN,90,46.54,30.78,78.62,6.62
298,bukoba,75,TZ,88,66.2,-1.33,31.81,4.18
299,praia da vitoria,40,PT,94,71.6,38.73,-27.07,14.27
300,areka,98,ET,91,65.68,7.07,37.71,1.63
301,mehran,0,IR,28,69.8,33.12,46.17,4.7
302,magnor,90,SE,93,48,59.95,12.2,2.24
303,mul,100,IN,91,77.38,20.07,79.68,9.57
304,atkinson,90,US,68,64.99,41.42,-90.02,9.17
305,domingos martins,90,BR,88,68,-20.36,-40.66,6.93
306,grand gaube,40,MU,88,78.01,-20.01,57.66,3.36
307,canavieiras,65,BR,91,70.16,-15.68,-38.95,2.55
308,gladstone,56,AU,44,80.01,-23.84,151.26,16.11
309,tingo maria,10,PE,71,37.04,-9.29,-76.01,4.61
310,puerto ayora,67,EC,97,66,-0.74,-90.35,5.99
311,harer,1,US,52,52,42.19,-111.17,8.05
312,ixtapa,90,MX,94,79,20.71,-105.21,4.7
313,kodinsk,81,RU,44,49.33,58.6,99.18,3.49
314,itupeva,75,BR,82,68,-23.15,-47.06,10.29
315,lubbock,1,US,57,78.8,33.58,-101.86,10.29
316,moranbah,0,AU,32,82.92,-22,148.04,20.22
317,tual,69,ID,81,78.46,-5.67,132.75,13.2
318,meulaboh,100,ID,75,81.54,4.14,96.13,4.07
319,mragowo,99,PL,82,49.17,53.86,21.31,6.42
320,kiama,40,AU,60,68,-34.67,150.86,10.29
321,borba,42,BR,85,74.82,-4.39,-59.59,0.45
322,tilichiki,22,RU,82,43.88,60.47,166.1,10.58
323,eseka,100,CM,97,72.54,3.65,10.77,0.83
324,paragould,1,US,88,69.8,36.06,-90.5,4.76
325,santiago del estero,6,AR,43,62.76,-27.8,-64.26,7.36
326,teya,90,MX,94,82.99,21.05,-89.07,5.82
327,seymchan,100,RU,68,30.06,62.93,152.39,14.03
328,stromness,1,CA,52,71.01,42.87,-79.55,12.75
329,tautira,75,PF,69,80.6,-17.73,-149.15,3.36
330,gazanjyk,0,TM,14,82.98,39.24,55.52,12.88
331,ahipara,75,NZ,67,55.67,-35.17,173.16,25.05
332,paducah,1,US,94,75.2,37.08,-88.6,3.36
333,grindavik,75,IS,87,57.2,63.84,-22.43,6.93
334,poum,90,MK,93,53.6,41.28,20.71,3.36
335,whitehorse,75,CA,70,44.01,60.72,-135.06,3.29
336,diego de almagro,0,CL,90,41.29,-26.39,-70.05,1.07
337,raypur,100,IN,77,83.62,21.07,75.87,5.39
338,gizo,20,IL,73,71.6,31.8,34.94,2.24
339,kamaishi,75,JP,46,69.8,39.28,141.86,4.7
340,anadyr,40,RU,80,39.2,64.73,177.51,17.9
341,boa vista,20,BR,78,80.6,2.82,-60.67,6.93
342,lazaro cardenas,40,MX,73,71.6,28.39,-105.62,11.41
343,arlit,0,NE,11,85.28,18.74,7.39,7.72
344,sale,47,AU,57,66,-38.11,147.06,2.44
345,palmer,0,AU,23,77,-34.85,139.16,14.99
346,harper,1,US,61,80.6,30.3,-99.24,15.03
347,sao jose da coroa grande,56,BR,93,68.74,-8.9,-35.15,2.21
348,bambous virieux,40,MU,88,78.01,-20.34,57.76,3.36
349,koltsovo,0,RU,45,44.6,54.94,83.19,13.42
350,saldanha,70,PT,84,53.1,41.42,-6.55,1.95
351,dunedin,100,NZ,70,45,-45.87,170.5,34
352,hofn,100,IS,99,40.41,64.25,-15.21,5.77
353,stephenville,90,CA,87,55.4,48.55,-58.59,8.05
354,hambantota,75,LK,74,84.2,6.12,81.12,3.36
355,mende,100,FR,98,51.75,44.52,3.5,3.31
356,southbridge,1,US,76,57.2,42.08,-72.03,6.93
357,weligama,98,LK,70,81.61,5.97,80.42,4.52
358,yar-sale,96,RU,85,36.54,66.83,70.83,12.57
359,lindi,75,TZ,83,73.4,-10,39.71,17.22
360,najran,40,SA,34,80.6,17.54,44.22,4.7
361,ponta delgada,75,PT,83,71.01,37.73,-25.67,11.41
362,nambucca heads,87,AU,68,72,-30.64,152.99,23.04
363,mangai,98,CD,88,72.79,-4.07,19.59,2.19
364,matamoros,1,US,78,84,25.87,-97.51,4.7
365,strezhevoy,40,RU,81,35.6,60.73,77.6,13.42
366,tessalit,0,ML,12,85.87,20.2,1.01,9.71
367,soyo,69,AO,89,75.38,-6.13,12.37,10.47
368,manado,20,ID,36,93.2,1.49,124.85,10.29
369,huarmey,100,PE,93,61.16,-10.07,-78.15,8.97
370,geraldton,75,CA,100,46.4,49.72,-86.95,6.93
371,takoradi,99,GH,94,73.8,4.89,-1.75,3.8
372,nishihara,75,JP,54,88,35.74,139.53,5.82
373,manzhouli,52,CN,26,74.89,49.6,117.43,12.48
374,poplar bluff,1,US,94,70,36.76,-90.39,3.36
375,yellapur,75,IN,94,75.2,14.96,74.71,6.93
376,young,0,UY,65,62.01,-32.7,-57.63,3.76
377,saint-francois,75,FR,93,60.8,46.42,3.91,5.82
378,balkhash,0,KZ,29,62.6,46.84,74.98,8.95
379,acapulco,75,MX,83,80.6,16.86,-99.88,3.36
380,kupang,20,ID,45,87.8,-10.16,123.6,5.82
381,svetlaya,0,RU,37,61.79,46.54,138.33,2.75
382,carsamba,75,TR,93,63,41.2,36.72,2.24
383,ouro preto do oeste,100,BR,90,73.44,-10.75,-62.22,2.28
384,chumikan,0,RU,46,51.58,54.72,135.31,7.81
385,xam nua,84,LA,49,76.46,20.42,104.04,5.37
386,piney green,1,US,100,75.2,35.09,-78.48,6.44
387,richards bay,73,ZA,57,62.69,-28.77,32.06,5.03
388,man,98,CI,99,67.03,7.41,-7.55,1.3
389,xuddur,40,SO,60,80.8,4.12,43.89,20.04
390,furano,20,JP,48,66.2,43.28,142.47,8.05
391,petatlan,97,MX,77,81.77,17.52,-101.27,6.58
392,kalmunai,99,LK,65,85.46,7.42,81.82,6.13
393,kanniyakumari,100,IN,79,79.3,8.08,77.57,7.52
394,tampere,75,FI,100,33.8,61.5,23.76,1.12
395,baruun-urt,46,MN,15,78.55,46.68,113.28,18.72
396,taitung,20,TW,55,86,22.76,121.15,13.87
397,te anau,100,NZ,89,42.84,-45.41,167.72,9.17
398,sisimiut,28,GL,71,40.5,66.94,-53.67,5.84
399,kijang,40,KR,48,82.4,35.24,129.21,8.05
400,saint-pierre,90,FR,100,60.8,48.95,4.24,12.75
401,coroico,75,BO,93,41,-16.19,-67.73,6.93
402,xichang,73,CN,61,62.06,27.88,102.25,4.79
403,dickinson,1,US,75,44.6,46.88,-102.79,8.05
404,kaihua,97,CN,32,83.32,29.14,118.41,3.69
405,noumea,90,NC,56,73.4,-22.28,166.46,18.34
406,anaco,100,VE,95,73.09,9.43,-64.46,3.18
407,dabat,0,ET,71,73.67,12.98,37.77,2.53
408,bandarbeyla,0,SO,39,89.46,9.49,50.81,18.39
409,lompoc,90,US,93,69.8,34.64,-120.46,5.82
410,san policarpo,5,PH,80,83.75,12.18,125.51,10.56
411,itoigawa,68,JP,63,71.96,37.02,137.87,17.56
412,hay river,20,CA,64,35.6,60.82,-115.79,3.36
413,san jeronimo,84,PE,94,47.34,-13.65,-73.37,0.85
414,seoul,75,KR,61,80.6,37.57,126.98,4.7
415,jalu,0,LY,70,73.04,29.03,21.55,6.73
416,morondava,0,MG,66,72.14,-20.3,44.28,9.01
417,ha tinh,35,VN,55,85.84,18.33,105.9,5.53
418,lincoln,90,GB,100,60.01,53.23,-0.54,14.99
419,grabovo,40,HR,93,60.01,45.28,19.06,1.12
420,esperance,34,AU,49,69.8,-33.86,121.89,8.05
421,miri,100,NG,80,74.03,10.31,9.75,2.84
422,souillac,0,FR,93,63,45.6,-0.6,9.17
423,samut sakhon,20,TH,59,93.99,13.55,100.27,6.93
424,smithers,90,CA,93,44.6,54.78,-127.17,5.41
425,garmsar,0,IR,6,79.7,35.22,52.34,7.25
426,piltene,0,LV,100,37.4,57.23,21.67,1.12
427,sigli,100,ID,55,87.89,5.38,95.96,5.86
428,guelph,90,CA,72,69.01,43.55,-80.25,10.29
429,genhe,0,CN,32,70.61,50.78,121.52,6.33
430,kem,13,UG,75,72.88,2.68,33.77,3.74
431,lukiv,100,UA,10,55,51.05,25.4,6.6
432,metro,44,ID,46,91.47,-5.11,105.31,8.59
433,rexburg,1,US,44,57.2,43.82,-111.79,11.41
434,imbituba,75,BR,93,64.4,-28.24,-48.67,3.36
435,port keats,28,AU,60,85.24,-14.25,129.55,13.78
436,san fernando,20,TT,83,80.6,10.28,-61.46,7.65
437,balabac,12,PH,69,86.29,7.99,117.06,10.89
438,ostrovnoy,100,RU,81,37.38,68.05,39.51,14.9
439,kyren,89,RU,73,48.52,51.68,102.13,5.12
440,barguzin,100,RU,93,48.22,53.62,109.63,7.61
441,vanavara,56,RU,50,44.49,60.35,102.28,4.76
442,pontes e lacerda,63,BR,87,70.14,-15.23,-59.33,2.13
443,russkiy kameshkir,80,RU,64,43.59,52.86,46.09,8.59
444,sorland,20,NO,93,44.6,67.67,12.69,6.93
445,samarinda,23,ID,41,93.85,-0.5,117.14,3.87
446,bouna,98,CI,98,71.28,9.27,-3,5.28
447,vavuniya,96,LK,53,90.18,8.76,80.5,4.99
448,mehamn,75,NO,87,44.6,71.03,27.85,6.93
449,namibe,74,AO,87,68.99,-15.19,12.15,3.8
450,azangaro,54,PE,68,43.23,-14.91,-70.2,2.33
451,broken hill,0,AU,16,75.2,-31.97,141.45,5.82
452,tarragona,55,ES,100,69.01,41.12,1.25,1.12
453,swan hill,54,AU,36,67.82,-35.34,143.56,5.53
454,bilma,0,NE,16,85.24,18.69,12.92,8.75
455,ilheus,75,BR,100,71.6,-14.79,-39.05,4.7
